-84.00	-349.00
-97.00	-324.00
-108.00	-295.00
-113.00	-275.00
-126.00	-250.00
-144.00	-243.00
-152.00	-239.00
-154.00	-238.00
-161.00	-221.00
-173.00	-216.00
-174.00	-196.00
-186.00	-191.00
-190.00	-190.00
-192.00	-189.00
-204.00	-184.00
-208.00	-183.00
-216.00	-181.00
-226.00	-178.00
-227.00	-171.00
-236.00	-164.00
-254.00	-157.00
-269.00	-148.00
-278.00	-141.00
-290.00	-136.00
-294.00	-135.00
-296.00	-134.00
-307.00	-132.00
-308.00	-129.00
-312.00	-128.00
-320.00	-126.00
-325.00	-125.00
-329.00	-124.00
-332.00	-121.00
-336.00	-120.00
-349.00	-117.00
-353.00	-116.00
-362.00	-113.00
-379.00	-109.00
-405.00	-107.00
-408.00	-105.00
-425.00	-101.00
-462.00	-97.00
 -79.00	-369.00
