-706.00	-1658.00
-706.00	-1588.00
-706.00	-1584.00
-710.00	-1514.00
-710.00	-1506.00
-714.00	-1440.00
-714.00	-1432.00
-718.00	-1358.00
-718.00	-1354.00
-722.00	-1276.00
-726.00	-1210.00
-726.00	-1202.00
-730.00	-1128.00
-738.00	-1124.00
-738.00	-1062.00
-738.00	-1058.00
-738.00	-1054.00
-742.00	-1050.00
-750.00	-980.00
-750.00	-976.00
-820.00	-972.00
-824.00	-968.00
-828.00	-914.00
-828.00	-906.00
-828.00	-898.00
-898.00	-894.00
-902.00	-890.00
-910.00	-886.00
-925.00	-883.00
-929.00	-879.00
-929.00	-859.00
-933.00	-855.00
-937.00	-851.00
-964.00	-836.00
-968.00	-828.00
-972.00	-824.00
-976.00	-820.00
-980.00	-816.00
-988.00	-812.00
-1007.00	-785.00
-1011.00	-781.00
-1015.00	-777.00
-1050.00	-750.00
-1054.00	-746.00
-1058.00	-742.00
-1128.00	-738.00
-1170.00	-707.00
-1174.00	-703.00
-1244.00	-699.00
-1256.00	-695.00
-1330.00	-691.00
-1474.00	-687.00
-1552.00	-683.00
-1630.00	-679.00
-1704.00	-675.00
 -702.00	-1662.00
