-1816.00	-6140.00
-1843.00	-5646.00
-1859.00	-5460.00
-1885.00	-4967.00
-1911.00	-4669.00
-1954.00	-4489.00
-1964.00	-4487.00
-1980.00	-4386.00
-1980.00	-4191.00
-2006.00	-3893.00
-2032.00	-3400.00
-2101.00	-3117.00
-2127.00	-2929.00
-2128.00	-2928.00
-2196.00	-2646.00
-2222.00	-2458.00
-2223.00	-2457.00
-2291.00	-2175.00
-2317.00	-1987.00
-2318.00	-1986.00
-2386.00	-1704.00
-2412.00	-1516.00
-2413.00	-1515.00
-2455.00	-1226.00
-2481.00	-1038.00
-2507.00	-740.00
-2759.00	-733.00
-3011.00	-726.00
-1790.00	-6438.00
